epoch,train_loss,eval_loss,elapsed_s
1,0.216669,0.148455,5.553
2,0.130477,0.120010,10.902
3,0.111655,0.107503,16.263
4,0.102413,0.101442,21.566
5,0.097131,0.096861,26.779
6,0.093078,0.094400,32.000
7,0.090082,0.091130,37.216
8,0.087845,0.088956,42.588
9,0.086029,0.087482,47.802
10,0.084493,0.086226,53.235
11,0.083210,0.085074,58.587
12,0.082109,0.084020,63.962
13,0.081135,0.082833,69.334
14,0.080218,0.082477,74.793
15,0.079461,0.081856,80.008
16,0.078840,0.080962,85.294
17,0.078257,0.080360,90.508
18,0.077715,0.079941,95.724
19,0.077223,0.079721,100.939
20,0.076851,0.079419,106.152
